order_id,cost_total,date,customer_id,staff_id
1,16.57,02/27/2022,218,5
2,10.43,02/27/2022,630,8
3,6.34,02/27/2022,246,7
4,15.78,02/27/2022,257,14
5,2.24,02/27/2022,688,15
6,19.55,02/27/2022,260,3
7,16.62,02/27/2022,12,12
8,4.78,02/27/2022,764,13
9,10.29,02/27/2022,145,3
10,18.29,02/27/2022,391,9
11,13.85,02/27/2022,62,1
12,9.42,02/27/2022,1000,5
13,17.31,02/27/2022,796,3
14,8.72,02/27/2022,954,6
15,6.39,02/27/2022,590,11
16,12.95,02/27/2022,205,3
17,19.55,02/27/2022,359,13
18,4.35,02/27/2022,488,4
19,5.37,02/27/2022,768,15
20,12.9,02/27/2022,782,14
21,18.28,02/27/2022,485,8
22,13.83,02/27/2022,393,13
23,2.9,02/27/2022,261,8
24,13.14,02/27/2022,577,9
25,16.75,02/27/2022,424,1
26,15.69,02/27/2022,802,9
27,13.32,02/27/2022,701,7
28,6.86,02/27/2022,522,8
29,3.45,02/27/2022,465,6
30,9.01,02/27/2022,848,12
31,7.02,02/27/2022,98,10
32,15.05,02/27/2022,843,5
33,2.68,02/27/2022,801,6
34,16.92,02/27/2022,273,3
35,18.57,02/27/2022,16,10
36,14.53,02/27/2022,688,3
37,12.19,02/27/2022,614,3
38,15.0,02/27/2022,53,3
39,13.89,02/27/2022,746,3
40,15.33,02/27/2022,858,8
41,1.45,02/27/2022,60,11
42,14.55,02/27/2022,436,8
43,10.82,02/27/2022,218,4
44,4.38,02/27/2022,911,11
45,12.01,02/27/2022,869,15
46,6.5,02/27/2022,726,4
47,5.88,02/27/2022,908,9
48,5.59,02/27/2022,230,12
49,18.53,02/27/2022,275,8
50,6.02,02/27/2022,227,14
51,11.78,02/27/2022,770,12
52,10.98,02/27/2022,750,9
53,10.32,02/27/2022,218,11
54,14.2,02/27/2022,776,8
55,8.92,02/27/2022,909,3
56,10.15,02/27/2022,408,11
57,3.46,02/27/2022,91,2
58,16.73,02/27/2022,373,10
59,3.73,02/27/2022,672,12
60,19.07,02/27/2022,525,15
61,16.55,02/27/2022,264,10
62,9.53,02/27/2022,366,10
63,3.1,02/27/2022,351,5
64,1.09,02/27/2022,39,11
65,16.58,02/27/2022,214,9
66,5.45,02/27/2022,363,5
67,4.16,02/27/2022,943,15
68,7.59,02/27/2022,45,8
69,11.27,02/27/2022,456,10
70,13.79,02/27/2022,674,8
71,17.57,02/27/2022,972,14
72,18.37,02/27/2022,485,3
73,1.21,02/27/2022,353,14
74,5.58,02/27/2022,738,3
75,2.9,02/27/2022,632,5
76,4.02,02/27/2022,382,13
77,15.88,02/27/2022,351,8
78,3.7,02/27/2022,636,12
79,12.01,02/27/2022,950,1
80,9.82,02/27/2022,943,14
81,9.52,02/27/2022,106,4
82,8.75,02/27/2022,673,10
83,10.6,02/27/2022,483,11
84,14.47,02/27/2022,929,6
85,11.22,02/27/2022,178,13
86,5.97,02/27/2022,29,10
87,11.7,02/27/2022,484,12
88,14.76,02/27/2022,379,5
89,15.11,02/27/2022,785,1
90,16.16,02/27/2022,861,6
91,2.97,02/27/2022,925,12
92,19.8,02/27/2022,104,4
93,18.04,02/27/2022,775,7
94,5.64,02/27/2022,531,14
95,7.0,02/27/2022,715,7
96,14.42,02/27/2022,450,15
97,1.36,02/27/2022,888,14
98,19.8,02/27/2022,471,7
99,12.92,02/27/2022,523,15
100,10.99,02/27/2022,543,8
101,10.76,02/27/2022,991,14
102,9.94,02/27/2022,666,4
103,13.6,02/27/2022,802,7
104,9.04,02/27/2022,729,12
105,5.88,02/27/2022,618,3
106,10.31,02/27/2022,439,2
107,13.41,02/27/2022,842,14
108,11.73,02/27/2022,430,5
109,13.33,02/27/2022,361,13
110,5.38,02/27/2022,690,10
111,4.82,02/27/2022,313,4
112,12.1,02/27/2022,934,3
113,8.1,02/27/2022,258,6
114,19.48,02/27/2022,928,7
115,17.14,02/27/2022,651,10
116,4.2,02/27/2022,770,13
117,4.68,02/27/2022,591,8
118,12.88,02/27/2022,129,3
119,3.8,02/27/2022,346,15
120,2.02,02/27/2022,79,5
121,18.82,02/27/2022,985,14
122,11.68,02/27/2022,194,15
123,6.59,02/27/2022,137,6
124,6.06,02/27/2022,358,1
125,18.62,02/27/2022,352,15
126,14.2,02/27/2022,525,1
127,9.14,02/27/2022,633,2
128,2.3,02/27/2022,23,4
129,5.37,02/27/2022,542,9
130,6.96,02/27/2022,377,4
131,15.06,02/27/2022,108,6
132,6.33,02/27/2022,949,4
133,18.71,02/27/2022,726,10
134,1.01,02/27/2022,787,12
135,2.05,02/27/2022,309,10
136,14.44,02/27/2022,418,6
137,4.26,02/27/2022,876,5
138,2.76,02/27/2022,466,14
139,14.16,02/27/2022,927,4
140,11.9,02/27/2022,420,13
141,5.47,02/27/2022,834,3
142,6.33,02/27/2022,898,13
143,9.32,02/27/2022,164,10
144,17.26,02/27/2022,100,11
145,3.97,02/27/2022,879,12
146,2.5,02/27/2022,123,9
147,2.67,02/27/2022,872,5
148,13.04,02/27/2022,652,1
149,4.32,02/27/2022,618,2
150,16.92,02/27/2022,988,9
151,16.8,02/27/2022,660,12
152,4.87,02/27/2022,576,6
153,14.02,02/27/2022,625,2
154,5.19,02/27/2022,137,7
155,7.27,02/27/2022,444,9
156,17.28,02/27/2022,763,2
157,18.86,02/27/2022,392,2
158,9.05,02/27/2022,619,8
159,9.93,02/27/2022,762,8
160,19.07,02/27/2022,350,3
161,7.98,02/27/2022,53,1
162,13.17,02/27/2022,558,4
163,1.34,02/27/2022,315,4
164,10.34,02/27/2022,706,7
165,16.02,02/27/2022,713,1
166,11.57,02/27/2022,791,5
167,7.47,02/27/2022,441,5
168,7.13,02/27/2022,875,2
169,4.05,02/27/2022,886,3
170,11.22,02/27/2022,393,4
171,11.69,02/27/2022,732,7
172,14.83,02/27/2022,619,3
173,13.96,02/27/2022,982,3
174,17.57,02/27/2022,693,11
175,12.66,02/27/2022,578,12
176,9.29,02/27/2022,917,12
177,14.87,02/27/2022,15,5
178,12.61,02/27/2022,235,8
179,12.65,02/27/2022,329,11
180,1.44,02/27/2022,68,9
181,11.33,02/27/2022,847,12
182,6.97,02/27/2022,716,6
183,17.15,02/27/2022,222,5
184,5.0,02/27/2022,743,1
185,7.66,02/27/2022,516,2
186,16.06,02/27/2022,990,12
187,4.92,02/27/2022,80,11
188,3.07,02/27/2022,792,4
189,1.63,02/27/2022,276,9
190,7.06,02/27/2022,822,14
191,6.43,02/27/2022,242,6
192,6.05,02/27/2022,702,3
193,15.59,02/27/2022,460,8
194,5.52,02/27/2022,984,5
195,7.93,02/27/2022,753,8
196,10.67,02/27/2022,981,12
197,14.99,02/27/2022,7,14
198,5.49,02/27/2022,268,4
199,9.77,02/27/2022,228,12
200,13.92,02/27/2022,714,6
201,6.47,02/27/2022,89,1
202,1.8,02/27/2022,46,4
203,6.04,02/27/2022,938,1
204,8.96,02/27/2022,802,15
205,14.26,02/27/2022,412,5
206,7.54,02/27/2022,702,13
207,8.03,02/27/2022,279,13
208,7.27,02/27/2022,916,3
209,7.46,02/27/2022,141,4
210,19.79,02/27/2022,684,1
211,14.82,02/27/2022,220,12
212,14.25,02/27/2022,873,2
213,5.71,02/27/2022,107,8
214,18.25,02/27/2022,446,15
215,2.44,02/27/2022,543,11
216,6.6,02/27/2022,745,9
217,11.5,02/27/2022,844,5
218,18.18,02/27/2022,719,9
219,6.41,02/27/2022,725,11
220,8.25,02/27/2022,243,7
221,6.03,02/27/2022,250,12
222,9.31,02/27/2022,37,8
223,7.72,02/27/2022,962,3
224,2.75,02/27/2022,951,5
225,11.52,02/27/2022,924,8
226,5.79,02/27/2022,337,4
227,2.75,02/27/2022,457,12
228,13.63,02/27/2022,850,6
229,13.68,02/27/2022,718,6
230,6.75,02/27/2022,298,14
231,2.42,02/27/2022,262,14
232,18.81,02/27/2022,277,3
233,1.5,02/27/2022,471,8
234,15.51,02/27/2022,780,10
235,16.95,02/27/2022,813,2
236,12.6,02/27/2022,290,8
237,2.78,02/27/2022,743,8
238,12.27,02/27/2022,17,13
239,13.7,02/27/2022,310,2
240,19.02,02/27/2022,205,11
241,2.52,02/27/2022,619,5
242,11.31,02/27/2022,74,7
243,7.93,02/27/2022,748,13
244,14.07,02/27/2022,379,9
245,8.4,02/27/2022,154,6
246,5.74,02/27/2022,518,1
247,2.88,02/27/2022,894,11
248,8.65,02/27/2022,328,13
249,6.41,02/27/2022,645,10
250,7.27,02/27/2022,524,11
251,4.63,02/27/2022,104,2
252,13.38,02/27/2022,541,8
253,7.25,02/27/2022,757,10
254,2.11,02/27/2022,247,1
255,11.15,02/27/2022,518,12
256,3.48,02/27/2022,178,13
257,11.36,02/27/2022,649,6
258,3.94,02/27/2022,722,6
259,15.5,02/27/2022,695,2
260,1.69,02/27/2022,660,14
261,15.8,02/27/2022,898,6
262,1.49,02/27/2022,385,5
263,9.35,02/27/2022,499,2
264,1.72,02/27/2022,976,7
265,2.39,02/27/2022,248,2
266,7.27,02/27/2022,762,8
267,3.25,02/27/2022,301,3
268,15.5,02/27/2022,608,10
269,11.58,02/27/2022,893,13
270,4.11,02/27/2022,721,14
271,17.58,02/27/2022,361,13
272,19.35,02/27/2022,477,3
273,12.36,02/27/2022,370,13
