menu_id,order_id,quantity
8,1,1
4,1,1
12,1,1
5,1,1
2,2,2
8,2,2
15,2,1
1,2,1
19,2,1
16,2,1
18,2,1
1,3,2
13,3,1
12,3,1
6,3,1
14,3,2
3,3,1
19,3,1
18,4,1
20,5,2
14,5,2
18,5,2
15,5,2
7,5,1
5,5,1
17,6,2
9,6,1
16,6,1
5,6,2
1,6,1
20,6,1
4,6,1
12,7,1
17,7,2
1,7,2
7,7,1
20,7,2
16,8,1
6,8,2
19,8,1
3,8,1
17,8,2
8,8,1
10,8,1
4,8,1
1,9,1
18,9,1
16,9,2
13,9,2
15,9,1
10,9,1
17,9,1
12,9,1
13,10,1
15,10,1
4,10,1
18,11,1
16,11,1
7,11,1
5,11,2
17,11,1
11,12,1
2,12,1
4,12,1
12,12,2
6,12,1
19,13,1
12,13,1
1,13,1
18,13,1
12,14,1
5,14,1
2,14,1
7,14,1
4,15,1
5,15,1
16,15,1
5,16,1
2,16,1
13,16,1
10,16,1
20,16,1
12,16,1
16,16,1
1,16,1
8,16,1
4,17,1
1,17,1
7,17,1
11,18,1
3,18,1
18,18,1
4,18,1
18,19,1
8,19,3
7,19,1
1,19,1
3,20,1
13,20,2
5,20,1
2,21,1
9,22,1
2,22,1
3,22,1
7,22,2
12,22,1
15,22,1
14,22,1
15,23,1
16,23,1
6,23,2
1,23,1
2,24,1
13,24,2
1,24,2
5,24,1
17,24,1
5,25,1
9,25,1
17,25,1
14,25,1
10,25,1
13,26,1
9,26,1
6,26,1
4,26,1
2,26,1
7,26,1
1,26,1
18,26,1
5,27,1
6,27,2
10,27,1
8,27,1
14,27,1
11,28,1
20,28,1
2,28,1
9,28,3
15,28,1
17,28,1
8,28,1
5,28,1
15,29,1
4,29,1
1,29,2
9,29,1
7,29,1
16,29,1
10,29,1
13,29,1
5,29,1
5,30,2
10,30,1
6,31,1
14,31,1
2,31,1
3,31,1
5,31,1
9,31,1
10,31,1
11,31,1
9,32,1
18,32,1
14,32,1
13,32,2
2,32,1
1,32,1
4,33,1
20,33,1
19,34,1
12,34,1
15,34,1
5,34,2
17,34,1
11,34,1
1,34,1
7,35,1
1,35,1
20,35,1
17,35,1
19,35,1
13,36,1
12,37,2
8,37,1
11,37,1
20,37,1
10,37,1
16,37,1
17,37,1
11,38,1
18,38,1
6,39,1
10,39,1
8,39,1
15,39,2
3,39,1
17,39,1
20,39,1
2,39,1
6,40,1
11,40,2
18,40,1
20,40,1
17,40,1
19,40,1
5,41,2
12,41,3
20,41,1
6,41,1
9,41,1
8,42,2
11,42,2
18,42,1
1,42,1
12,42,1
4,43,2
19,43,1
15,43,1
17,44,1
11,45,1
20,46,1
2,46,1
1,46,1
16,46,1
4,46,1
15,46,1
7,46,1
8,46,1
3,47,1
9,47,1
20,47,2
10,47,1
7,47,1
2,47,1
13,47,1
13,48,1
8,48,1
18,48,1
7,48,1
17,48,1
6,48,2
1,49,1
9,49,2
10,49,3
3,49,1
5,49,1
19,49,1
17,49,1
11,50,3
19,50,1
15,50,1
9,50,1
2,51,1
5,51,1
15,51,1
4,51,1
3,52,1
12,52,1
9,52,2
20,52,1
8,53,1
2,54,1
16,54,1
20,55,1
11,55,1
16,56,1
2,56,2
1,56,1
11,56,1
12,56,1
19,57,1
15,57,2
13,57,1
10,57,1
2,57,1
11,57,1
5,57,1
9,57,1
12,57,1
16,58,1
13,58,1
12,58,1
17,58,1
10,59,1
8,59,2
20,59,1
18,60,1
6,60,1
5,60,1
16,60,2
11,60,1
7,60,1
3,60,1
17,61,1
12,61,2
10,62,1
11,62,1
16,62,1
9,62,1
6,63,1
19,64,1
7,65,1
20,65,2
6,65,1
5,65,1
13,65,1
11,65,2
10,65,1
2,66,1
6,66,1
15,67,1
16,67,1
9,67,1
19,67,1
2,67,1
5,67,1
7,67,2
20,67,1
18,68,1
8,68,1
6,68,1
17,68,1
16,68,1
11,69,1
15,69,2
12,69,2
5,69,1
18,69,2
7,69,1
8,70,1
18,70,1
5,70,1
6,70,2
19,70,1
11,70,2
12,70,1
10,70,1
6,71,1
2,71,1
1,71,1
20,71,1
13,72,1
8,72,1
7,72,1
4,72,1
15,72,1
5,72,1
18,72,1
1,72,1
17,73,1
20,73,2
18,73,1
1,73,1
5,73,1
4,73,1
