menu_id,order_id,quantity
11,1,3
13,2,4
2,3,3
20,4,1
2,4,5
9,5,2
4,6,1
17,7,2
14,8,4
18,9,5
10,10,2
1,11,1
6,12,4
19,13,1
15,14,4
8,15,5
19,16,3
13,17,2
2,18,1
16,19,4
2,20,5
10,20,5
8,21,1
11,22,2
3,23,4
14,24,4
10,25,3
16,25,1
9,26,1
10,27,4
3,28,2
13,29,2
8,29,2
9,30,1
20,31,2
4,32,5
6,33,3
17,33,3
15,34,3
14,34,5
12,35,5
14,36,4
2,37,2
17,37,5
3,38,3
6,39,2
16,40,4
9,41,5
2,42,5
9,43,3
17,44,1
2,45,5
1,46,5
1,47,1
18,48,4
10,49,2
17,49,2
1,50,1
7,51,3
2,52,1
12,53,5
17,54,2
2,55,1
4,56,5
11,57,3
4,57,4
16,58,4
2,58,1
19,59,3
3,60,3
17,61,4
3,62,2
8,62,5
20,63,2
16,64,2
4,65,3
16,66,4
7,67,5
2,68,5
18,69,2
10,70,1
13,71,1
4,71,1
2,72,4
15,73,4
2,74,3
17,75,4
1,76,5
9,77,2
15,78,5
5,79,1
17,80,4
14,81,4
11,82,1
10,83,5
8,84,1
9,85,4
18,85,2
1,86,5
1,87,3
6,88,3
4,88,1
2,89,1
17,89,5
20,90,3
8,91,3
7,92,5
6,93,4
8,93,1
4,94,5
13,95,4
7,96,1
8,97,3
3,97,2
1,98,5
12,99,5
20,100,1
3,101,2
1,102,2
20,103,5
6,104,4
10,105,4
11,106,1
7,107,1
5,108,4
15,108,5
15,109,4
11,110,4
4,111,1
11,112,4
4,113,4
1,113,5
14,114,2
19,115,5
3,115,5
2,116,2
18,116,4
11,117,5
13,118,2
15,119,1
2,119,5
13,120,1
18,121,5
11,122,5
4,123,5
2,123,1
15,124,5
5,125,3
3,126,5
7,127,1
10,128,1
19,129,2
5,130,5
20,130,4
14,131,2
17,132,5
16,133,5
5,133,4
20,134,4
13,135,1
12,136,1
5,136,2
18,137,4
3,138,5
3,139,2
14,140,4
14,141,5
16,141,4
1,142,5
5,143,1
6,144,4
16,145,5
3,145,3
19,146,3
17,147,5
13,148,5
10,149,5
17,150,2
12,151,2
15,152,2
8,153,2
6,154,3
7,155,2
13,155,2
11,156,4
16,157,2
7,158,1
4,159,1
12,159,5
2,160,2
15,161,2
13,162,4
5,162,4
16,163,3
18,163,3
15,164,5
7,165,4
19,166,1
11,167,5
2,168,1
15,168,1
10,169,1
18,170,3
16,171,2
4,171,2
15,172,4
15,173,1
3,174,2
13,174,4
1,175,1
14,176,5
16,177,2
19,178,3
20,179,1
13,180,5
11,181,2
20,182,3
16,183,2
7,184,3
11,185,2
10,186,4
11,186,4
12,187,4
11,188,3
2,189,5
6,190,2
7,191,5
3,192,3
8,192,5
11,193,2
9,194,2
15,195,3
5,196,3
7,196,5
14,197,5
3,198,5
12,199,5
18,200,3
6,201,3
4,202,1
3,203,1
2,204,1
13,204,2
16,205,2
3,206,1
5,207,4
12,208,4
15,209,1
17,210,4
8,211,1
6,212,2
12,212,3
3,213,4
4,214,4
13,215,2
18,216,4
15,216,2
17,217,1
4,218,4
3,219,5
18,220,3
12,221,4
2,222,1
2,223,2
14,224,5
3,225,4
19,225,5
10,226,1
9,226,4
6,227,2
8,227,4
1,228,4
12,229,1
9,230,4
20,231,5
18,232,5
13,233,3
20,234,3
8,235,2
13,235,4
19,236,3
6,237,1
5,238,5
20,239,3
3,240,5
7,241,4
3,241,4
16,242,3
7,243,5
13,244,2
9,245,4
5,246,2
3,247,4
7,248,5
10,249,2
13,250,1
1,251,2
18,252,4
11,253,4
18,254,2
19,254,1
6,255,4
14,256,5
2,257,4
9,258,1
4,258,2
4,259,5
5,259,2
9,260,1
5,260,5
18,261,2
6,262,1
1,262,2
6,263,1
12,264,4
13,265,2
3,266,4
14,267,2
10,268,2
17,269,4
9,270,1
20,271,2
2,272,2
10,273,5
12,274,3
3,275,4
7,276,1
20,277,4
1,277,1
15,278,3
20,278,2
4,279,2
6,280,3
18,280,2
5,281,2
9,282,5
15,283,2
16,284,5
3,285,5
13,286,1
7,287,1
13,288,5
3,288,2
3,289,5
20,289,5
10,290,5
2,291,3
6,291,3
14,292,4
8,292,1
7,293,1
12,294,3
17,294,5
10,295,3
1,296,4
1,297,1
14,298,3
10,299,5
19,300,5
3,301,1
2,302,5
12,303,5
12,304,2
2,305,3
20,306,5
8,307,4
10,307,4
16,308,4
14,309,3
11,310,4
15,310,1
15,311,5
13,312,2
7,312,5
6,313,3
5,314,1
5,315,2
12,316,2
2,317,2
20,318,2
16,319,2
18,319,4
10,320,5
20,321,3
19,322,3
17,323,3
9,323,5
6,324,3
9,325,1
11,326,3
9,327,2
13,328,2
3,328,2
10,329,2
3,330,3
16,331,1
19,332,3
19,333,4
6,333,1
5,334,1
9,334,4
1,335,5
2,335,3
2,336,4
13,336,4
10,337,2
3,338,5
3,339,5
18,340,2
9,341,2
3,342,1
5,342,2
4,343,4
6,344,1
15,345,1
12,346,4
9,346,1
6,347,5
2,348,2
12,349,4
18,350,1
19,351,3
6,352,3
10,353,3
2,354,2
8,354,3
8,355,5
5,355,3
1,356,5
13,356,5
2,357,3
12,358,3
7,358,2
6,359,2
4,359,5
19,360,1
3,360,5
2,361,2
17,362,4
9,362,1
11,363,5
14,364,2
15,364,3
10,365,5
7,366,3
13,366,5
9,367,3
9,368,2
11,369,3
7,370,1
5,371,4
4,372,3
15,372,1
6,373,5
5,374,3
12,374,2
18,375,1
15,376,4
17,377,5
5,378,5
9,379,3
15,379,5
15,380,5
17,381,2
4,382,4
11,383,5
13,384,2
1,385,3
19,385,4
14,386,2
12,387,5
9,388,1
8,389,2
7,389,1
8,390,3
1,390,3
7,391,5
5,392,1
3,393,4
3,394,3
10,395,5
7,395,5
8,396,4
3,397,4
1,398,3
15,399,3
10,399,2
8,400,2
4,401,1
14,402,5
7,403,3
9,404,1
1,404,3
10,405,5
17,406,5
3,407,1
2,407,4
5,408,3
19,409,5
3,409,3
3,410,3
11,411,4
1,412,5
4,413,5
18,414,1
16,415,4
7,415,1
16,416,3
14,417,4
19,418,3
1,418,1
15,419,1
13,420,1
8,421,4
4,422,2
10,423,5
13,424,1
10,425,1
1,426,2
17,427,1
5,427,2
13,428,1
19,429,4
9,430,3
14,431,5
16,431,4
3,432,1
13,433,1
16,434,4
10,435,3
12,435,4
8,436,2
18,437,3
4,438,3
17,439,1
18,440,5
4,441,5
1,442,3
17,443,5
11,444,2
2,445,5
9,446,2
8,446,4
16,447,4
15,447,3
3,448,2
2,449,2
8,450,5
14,450,5
14,451,3
7,452,4
17,452,5
5,453,4
13,453,4
9,454,4
13,455,2
4,455,5
19,456,5
1,457,1
2,458,3
17,459,3
19,460,2
17,461,1
7,462,2
17,462,2
14,463,2
8,464,3
4,465,1
15,466,4
17,467,2
2,468,2
4,468,1
1,469,2
9,469,4
6,470,2
6,471,3
11,472,2
2,473,4
11,474,4
11,475,2
13,476,5
20,477,2
10,478,2
12,479,2
1,480,1
2,481,5
2,482,2
19,483,3
16,484,1
15,485,1
5,486,5
17,487,4
2,488,5
15,488,3
17,489,4
11,490,2
18,491,4
12,492,3
8,493,2
8,494,3
14,495,2
10,496,4
16,497,5
8,497,3
17,498,2
20,499,5
7,500,4
11,501,4
13,502,1
6,503,2
6,504,1
3,504,4
19,505,2
9,505,3
5,506,2
12,507,4
14,508,4
7,508,3
17,509,3
1,510,4
2,511,1
9,511,3
1,512,5
2,513,3
7,514,3
18,515,4
12,516,3
3,517,3
12,518,2
18,519,5
3,520,3
19,521,4
17,522,4
12,523,1
1,523,4
2,524,4
20,525,1
12,526,4
20,527,2
12,528,3
19,528,3
4,529,2
15,530,5
16,531,5
4,531,5
9,532,5
13,533,3
7,534,3
4,534,2
4,535,3
15,535,2
17,536,5
6,536,2
19,537,4
7,538,5
7,539,3
3,539,5
9,540,1
14,541,2
11,542,2
6,543,2
5,544,1
19,545,4
18,546,3
15,547,4
18,548,4
16,549,2
7,549,2
11,550,3
7,550,4
11,551,5
19,552,2
3,553,4
9,554,1
5,555,2
18,555,3
9,556,3
20,556,4
10,557,2
14,557,3
3,558,3
19,559,2
15,560,3
16,561,3
9,562,4
4,562,5
15,563,2
20,564,4
14,564,5
14,565,4
1,566,4
8,566,5
4,567,2
15,568,2
1,569,5
15,570,3
9,571,5
4,572,3
4,573,3
7,574,2
1,575,5
6,576,4
15,576,1
3,577,2
2,578,3
17,579,1
2,580,3
11,581,3
20,582,2
4,583,4
20,584,4
9,585,4
18,586,5
18,587,1
16,587,5
5,588,5
8,588,2
3,589,2
9,590,3
8,590,1
19,591,5
4,592,2
9,593,5
15,594,4
14,595,5
13,595,2
14,596,5
13,597,5
16,598,1
3,599,5
2,600,4
10,601,2
8,602,2
16,603,5
7,604,2
13,605,5
13,606,5
17,607,5
4,608,4
8,608,4
2,609,4
12,610,2
19,611,3
6,612,2
16,613,2
9,614,5
15,615,1
14,616,2
8,617,3
3,617,2
19,618,1
11,619,5
1,620,4
1,621,4
3,621,1
2,622,2
14,623,5
8,624,5
16,625,4
17,626,4
15,627,2
9,628,1
11,629,3
3,630,1
3,631,5
11,632,1
7,633,5
14,633,1
6,634,3
5,635,4
7,636,4
6,637,1
19,638,5
5,639,5
8,640,3
15,641,4
14,642,4
5,643,3
19,643,1
3,644,1
2,645,4
17,646,3
9,647,5
19,648,4
12,649,1
11,649,3
5,650,4
8,650,5
5,651,2
1,652,3
6,653,3
6,654,1
9,655,2
12,656,2
10,657,5
12,658,1
8,659,5
7,660,5
8,660,1
17,661,4
14,662,2
9,663,4
