order_id,cost_total,date,customer_id,staff_id
1,13.85,02/27/2022,483,11
2,6.15,02/27/2022,330,15
3,18.52,02/27/2022,789,11
4,16.86,02/27/2022,907,2
5,6.66,02/27/2022,266,12
6,4.11,02/27/2022,677,1
7,12.57,02/27/2022,52,9
8,8.08,02/27/2022,793,1
9,2.87,02/27/2022,738,12
10,10.31,02/27/2022,292,14
11,1.12,02/27/2022,926,11
12,8.69,02/27/2022,293,7
13,2.86,02/27/2022,133,7
14,7.14,02/27/2022,151,9
15,9.26,02/27/2022,204,6
16,5.8,02/27/2022,852,11
17,14.66,02/27/2022,720,14
18,17.26,02/27/2022,764,12
19,12.92,02/27/2022,170,13
20,13.27,02/27/2022,589,15
21,11.46,02/27/2022,547,4
22,12.4,02/27/2022,129,9
23,4.6,02/27/2022,874,2
24,6.85,02/27/2022,817,10
25,11.23,02/27/2022,440,5
26,12.72,02/27/2022,987,15
27,1.16,02/27/2022,933,2
28,19.48,02/27/2022,575,4
29,10.68,02/27/2022,681,8
30,11.35,02/27/2022,993,1
31,10.01,02/27/2022,601,2
32,13.89,02/27/2022,505,7
33,1.72,02/27/2022,88,10
34,3.45,02/27/2022,647,6
35,17.17,02/27/2022,439,9
36,3.94,02/27/2022,528,14
37,11.69,02/27/2022,339,9
38,4.44,02/27/2022,454,6
39,16.85,02/27/2022,734,13
40,15.87,02/27/2022,534,10
41,16.68,02/27/2022,911,8
42,4.89,02/27/2022,308,11
43,5.29,02/27/2022,109,7
44,14.58,02/27/2022,613,3
45,3.87,02/27/2022,240,3
46,10.7,02/27/2022,104,7
47,13.44,02/27/2022,460,7
48,2.82,02/27/2022,723,10
49,8.51,02/27/2022,846,9
50,6.51,02/27/2022,883,1
51,16.47,02/27/2022,759,13
52,13.82,02/27/2022,425,10
53,8.2,02/27/2022,545,11
54,13.12,02/27/2022,560,12
55,5.71,02/27/2022,535,7
56,2.14,02/27/2022,538,4
57,6.17,02/27/2022,613,2
58,3.11,02/27/2022,819,1
59,18.75,02/27/2022,214,15
60,13.62,02/27/2022,488,2
61,2.58,02/27/2022,491,7
62,2.98,02/27/2022,336,10
63,8.53,02/27/2022,155,1
64,8.1,02/27/2022,439,5
65,3.56,02/27/2022,520,4
66,8.22,02/27/2022,434,15
67,14.66,02/27/2022,448,11
68,15.09,02/27/2022,553,1
69,19.84,02/27/2022,252,3
70,3.25,02/27/2022,688,6
71,2.07,02/27/2022,726,11
72,18.16,02/27/2022,354,3
73,7.86,02/27/2022,681,13
74,11.87,02/27/2022,597,3
75,3.34,02/27/2022,725,9
76,1.67,02/27/2022,303,13
77,10.09,02/27/2022,789,5
78,2.64,02/27/2022,525,12
79,8.93,02/27/2022,791,1
80,19.68,02/27/2022,839,8
81,17.62,02/27/2022,658,3
82,15.93,02/27/2022,991,2
83,12.42,02/27/2022,437,1
84,14.16,02/27/2022,462,11
85,19.57,02/27/2022,35,6
86,15.48,02/27/2022,507,8
87,3.25,02/27/2022,854,11
88,5.45,02/27/2022,507,5
89,15.79,02/27/2022,922,12
90,4.32,02/27/2022,326,8
91,7.45,02/27/2022,318,4
92,2.43,02/27/2022,213,14
93,16.14,02/27/2022,361,11
94,4.17,02/27/2022,46,14
95,19.42,02/27/2022,687,1
96,3.49,02/27/2022,333,8
97,19.05,02/27/2022,845,11
98,14.54,02/27/2022,996,5
99,1.67,02/27/2022,361,7
100,6.94,02/27/2022,841,12
101,4.3,02/27/2022,93,10
102,5.5,02/27/2022,557,14
103,10.19,02/27/2022,568,15
104,16.42,02/27/2022,803,13
105,6.1,02/27/2022,514,11
106,16.83,02/27/2022,632,3
107,7.45,02/27/2022,509,4
108,19.21,02/27/2022,805,3
109,4.14,02/27/2022,591,3
110,1.67,02/27/2022,74,14
111,13.36,02/27/2022,402,4
112,5.2,02/27/2022,65,9
113,7.07,02/27/2022,298,3
114,14.69,02/27/2022,938,14
115,18.71,02/27/2022,767,15
116,16.83,02/27/2022,134,15
117,12.25,02/27/2022,787,4
118,18.98,02/27/2022,658,4
119,13.88,02/27/2022,6,2
120,14.36,02/27/2022,305,6
121,7.5,02/27/2022,734,14
122,19.74,02/27/2022,283,14
123,5.97,02/27/2022,113,14
124,6.24,02/27/2022,191,6
125,1.44,02/27/2022,766,14
126,5.07,02/27/2022,747,15
127,1.21,02/27/2022,488,14
128,12.72,02/27/2022,891,13
129,1.67,02/27/2022,278,10
130,5.64,02/27/2022,61,15
131,17.68,02/27/2022,482,2
132,1.78,02/27/2022,642,14
